queueRank,status,submitted,company,role,fitTier,companyType,jobDomain,domainResume,location,applicationUrl,folder,resumePath,trackerNote
87,submitted,2026-06-07,Parallel Web Systems,Early Career Research Engineer,medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"Palo Alto, CA",https://jobs.ashbyhq.com/parallel/056e41f8-7d5f-41c1-99fd-bf002dc072fd/application?utm_source=Simplify&ref=Simplify,ng_applications/0087__Parallel_Web_Systems__Early_Career_Research_Engineer,ng_applications/0087__Parallel_Web_Systems__Early_Career_Research_Engineer/Yuanbo_Pang_Resume.pdf,Submitted via Ashby on 2026-06-07. Confirmation: Thank you for submitting your application! We will be in touch if there is a fit.
88,submitted,2026-06-07,Quadric,Deep Learning Compiler Engineer New Grad,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"Burlingame, CA",https://apply.workable.com/quadric-dot-i-o-inc/j/43779C9213/apply?utm_source=Simplify&ref=Simplify,ng_applications/0088__Quadric__Deep_Learning_Compiler_Engineer_New_Grad,ng_applications/0088__Quadric__Deep_Learning_Compiler_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,Submitted via Workable on 2026-06-07. Confirmation: Your application has been submitted successfully.
89,submitted,2026-06-07,Quince,Software Development Engineer - New Grad,medium,Startup / venture-backed company,Frontend / web / UI,frontend,"Palo Alto, California, United States",https://job-boards.greenhouse.io/quince/jobs/5226786008,ng_applications/0089__Quince__Software_Development_Engineer_-_New_Grad,ng_applications/0089__Quince__Software_Development_Engineer_-_New_Grad/Yuanbo_Pang_Resume.pdf,User reported submitted manually after email verification on 2026-06-07.
90,submitted,2026-06-07,Quince,Software Development Engineer New Grad,medium,Startup / venture-backed company,Frontend / web / UI,frontend,"Palo Alto, CA",https://job-boards.greenhouse.io/quince/jobs/5226786008?utm_source=Simplify&ref=Simplify,ng_applications/0090__Quince__Software_Development_Engineer_New_Grad,ng_applications/0090__Quince__Software_Development_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,Duplicate of rank 89 same Greenhouse job id; user reported Quince submitted manually on 2026-06-07.
91,submitted,2026-06-07,SpaceX,New Graduate Engineer - Software,medium,Startup / small-to-mid company,General software / IT,backend,"Hawthorne, CA",https://boards.greenhouse.io/spacex/jobs/8493079002?gh_jid=8493079002,ng_applications/0091__SpaceX__New_Graduate_Engineer_-_Software,ng_applications/0091__SpaceX__New_Graduate_Engineer_-_Software/Yuanbo_Pang_Resume.pdf,User reported SpaceX application submitted after recheck.
92,not_fit,,SpaceX,New Graduate Engineer - Software - Starlink,medium,Startup / small-to-mid company,General software / IT,backend,"Sunnyvale, CA",https://boards.greenhouse.io/spacex/jobs/8446263002?gh_jid=8446263002,ng_applications/0092__SpaceX__New_Graduate_Engineer_-_Software_-_Starlink,ng_applications/0092__SpaceX__New_Graduate_Engineer_-_Software_-_Starlink/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: official SpaceX Starlink posting includes ITAR/export-control U.S. person authorization requirements; F-1 OPT without green card is not a fit.
93,submitted,2026-06-07,Titan,New Grad Product Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/titan-msp/6ba1f660-6436-42f6-aaab-80ca931e8339/application?utm_source=Simplify&ref=Simplify,ng_applications/0093__Titan__New_Grad_Product_Engineer,ng_applications/0093__Titan__New_Grad_Product_Engineer/Yuanbo_Pang_Resume.pdf,Submitted via Ashby on 2026-06-07. Confirmation: Your application was successfully submitted.
94,submitted,2026-06-07,D3,Frontend Engineer – New Grad,medium,Startup / venture-backed company,Frontend / web / UI,frontend,LA,https://d3.com/careers?gh_jid=4915213008&utm_source=Simplify&ref=Simplify,ng_applications/0094__D3__Frontend_Engineer_New_Grad,ng_applications/0094__D3__Frontend_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,User reported D3 submitted manually; marked duplicate tracker row submitted.
95,submitted,2026-06-07,Latitude,Entry Level Software Developer - Data & Database Focus,medium,Startup / venture-backed company,Data / analytics / BI,data,"Baltimore, MD",https://jobs.lever.co/latitudeinc/4afc4fa6-2729-4de4-89bf-cda1209fb0d8/apply?utm_source=Simplify&ref=Simplify,ng_applications/0095__Latitude__Entry_Level_Software_Developer_-_Data_Database_Focus,ng_applications/0095__Latitude__Entry_Level_Software_Developer_-_Data_Database_Focus/Yuanbo_Pang_Resume.pdf,User reported Latitude Inc/Latitude application submitted.
96,not_fit,,SpaceX,New Graduate Engineer - Software - Starlink,medium,Startup / small-to-mid company,General software / IT,backend,"Bastrop, TX",https://boards.greenhouse.io/spacex/jobs/8399140002?gh_jid=8399140002,ng_applications/0096__SpaceX__New_Graduate_Engineer_-_Software_-_Starlink,ng_applications/0096__SpaceX__New_Graduate_Engineer_-_Software_-_Starlink/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: official SpaceX Starlink posting includes ITAR/export-control U.S. person authorization requirements; F-1 OPT without green card is not a fit.
97,closed,,Boerboel,New Grad: Developer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"New York, NY Chicago, IL",https://www.boerboeltrading.com/jobs.html?gh_jid=5670371004&utm_source=vansh&ref=vansh,ng_applications/0097__Boerboel__New_Grad_Developer,ng_applications/0097__Boerboel__New_Grad_Developer/Yuanbo_Pang_Resume.pdf,Verified company jobs page in Chrome and curl: original New Grad Developer Greenhouse posting is no longer present; page only shows other static roles.
98,needs_recheck,,Cognizant,"Jr. Software Engineer – Java (Spring Boot, Microservices) - Onsite",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Dearborn, MI",https://jobright.ai/jobs/info/6a21e341902d19201c7babf0?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0098__Cognizant__Jr._Software_Engineer_Java_Spring_Boot_Microservices_-_Ons,ng_applications/0098__Cognizant__Jr._Software_Engineer_Java_Spring_Boot_Microservices_-_Ons/Yuanbo_Pang_Resume.pdf,"Checked Jobright on 2026-06-07: listing is visible, but employer apply link is gated by Jobright/sign-in and official Cognizant application URL was not found in quick web verification."
99,submitted,2026-06-07,PURVIS Systems,Software Developer - 202605,medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"Newport, RI",https://jobs.lever.co/purvis/4cf83d40-aa7b-428a-8206-a26434d32b64/apply,ng_applications/0099__PURVIS_Systems__Software_Developer_-_202605,ng_applications/0099__PURVIS_Systems__Software_Developer_-_202605/Yuanbo_Pang_Resume.pdf,User reported PURVIS Systems application submitted.
100,not_fit,,[uOttawa,Carrières - Careers](https://www2.uottawa.ca/about-us/careers),medium,Startup / small-to-mid company,General software / IT,backend,"Junior Software Developer, Information Technology",https://jobright.ai/jobs/info/6a2107a2ca8f0b365d7a4970?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0100__uOttawa__Carrieres_-_Careershttpswww2.uottawa.caabout-uscareers,ng_applications/0100__uOttawa__Carrieres_-_Careershttpswww2.uottawa.caabout-uscareers/Yuanbo_Pang_Resume.pdf,"uOttawa careers role appears Canada/Ottawa-based, outside current US OPT no-sponsor application target. Screened out before applying."
101,needs_recheck,,Absurd,Founding Engineer,medium,Startup / small-to-mid company,General software / IT,backend,SF,https://simplify.jobs/p/833e196c-4b71-4fcb-8f56-00d0ea48c01a/Founding-Engineer?utm_source=Simplify&ref=Simplify,ng_applications/0101__Absurd__Founding_Engineer,ng_applications/0101__Absurd__Founding_Engineer/Yuanbo_Pang_Resume.pdf,"Live and strong AI agents/full-stack fit on Simplify direct application. Application reached resume upload step, but Chrome automation could not trigger/attach the Simplify file chooser; needs manual upload/retry."
102,not_fit,,"Affiliated Engineers, Inc.",Technology Services Designer I/II,medium,Startup / small-to-mid company,General software / IT,backend,"Chicago, IL",https://jobright.ai/jobs/info/69db1a429f97a42dc9c2cdd8?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0102__Affiliated_Engineers_Inc.__Technology_Services_Designer_III,ng_applications/0102__Affiliated_Engineers_Inc.__Technology_Services_Designer_III/Yuanbo_Pang_Resume.pdf,Technology Services Designer I/II is not a software engineering/new-grad SWE application target. Screened out before applying.
103,ready,,AffiniPay,Marketing Backend Developer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,Remote - US,https://jobright.ai/jobs/info/6a21f8b64bdf8a5a96bd9ab9?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0103__AffiniPay__Marketing_Backend_Developer,ng_applications/0103__AffiniPay__Marketing_Backend_Developer/Yuanbo_Pang_Resume.pdf,previously verified live link
104,needs_recheck,,AgentMail,Founding Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Francisco, CA",https://www.workatastartup.com/jobs/84801?utm_source=vansh,ng_applications/0104__AgentMail__Founding_Engineer,ng_applications/0104__AgentMail__Founding_Engineer/Yuanbo_Pang_Resume.pdf,"Live relevant YC Work at a Startup posting for Founding Engineer, but Apply Now requires YC account login/authentication before application can be submitted."
105,not_fit,,Allen Institute,Software Engineer II,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Seattle, WA",https://jobright.ai/jobs/info/6a0e104647fea1610bca6855?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0105__Allen_Institute__Software_Engineer_II,ng_applications/0105__Allen_Institute__Software_Engineer_II/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: current Allen Institute Software Engineer II postings/search results require 3+ years professional SWE experience; not NG target.
106,not_fit,,AMEWAS,Software Developer (BEAVER)-Junior,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"California, MD",https://jobright.ai/jobs/info/6a205e3d902d19201c7b1c64?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0106__AMEWAS__Software_Developer_BEAVER-Junior,ng_applications/0106__AMEWAS__Software_Developer_BEAVER-Junior/Yuanbo_Pang_Resume.pdf,AMEWAS/BEAVER junior role in defense/government context; likely clearance/export-control sensitive. Screened out before applying.
107,ready,,Amperesand,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, California, United States",https://jobright.ai/jobs/info/6a226864597131741415eb8c?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0107__Amperesand__Software_Engineer,ng_applications/0107__Amperesand__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
108,ready,,Amperesand,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,San Francisco (SF),https://jobright.ai/jobs/info/6a226861597131741415eb86?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0108__Amperesand__Software_Engineer,ng_applications/0108__Amperesand__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
109,closed,,Anima,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,Remote,https://jobs.ashbyhq.com/Anima/a6b86f92-0679-423b-b575-a23f8677dfd1?utm_source=vansh,ng_applications/0109__Anima__Software_Engineer,ng_applications/0109__Anima__Software_Engineer/Yuanbo_Pang_Resume.pdf,Checked Ashby on 2026-06-07: page says Job not found.
110,not_fit,,Apex Fintech Solutions,Software Engineer 1 - Aldp,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103501?utm_source=Simplify&ref=Simplify,ng_applications/0110__Apex_Fintech_Solutions__Software_Engineer_1_-_Aldp,ng_applications/0110__Apex_Fintech_Solutions__Software_Engineer_1_-_Aldp/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: duplicate of rank 111; same Workday requisition JR103501. Keep direct Workday URL rank 111 for application.
111,ready,,Apex Fintech Solutions,Software Engineer I - ALDP,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/en-US/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103501,ng_applications/0111__Apex_Fintech_Solutions__Software_Engineer_I_-_ALDP,ng_applications/0111__Apex_Fintech_Solutions__Software_Engineer_I_-_ALDP/Yuanbo_Pang_Resume.pdf,previously verified live link
112,ready,,Apten,Software Engineer (Full Stack) 🇺🇸,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/83503?utm_source=vansh,ng_applications/0112__Apten__Software_Engineer_Full_Stack,ng_applications/0112__Apten__Software_Engineer_Full_Stack/Yuanbo_Pang_Resume.pdf,previously verified live link
113,not_fit,,Archer,"Senior Software Engineer, Backend",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"San Jose, California, United States",https://jobright.ai/jobs/info/6a1e077cb524ae49285aa50a?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0113__Archer__Senior_Software_Engineer_Backend,ng_applications/0113__Archer__Senior_Software_Engineer_Backend/Yuanbo_Pang_Resume.pdf,"Role is Senior Software Engineer, Backend, not new-grad/junior target. Screened out before applying."
114,ready,,Aurora,Security Software Engineer I,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Mountain View, CA",https://aurora.tech/careers/8137861002?utm_source=vansh,ng_applications/0114__Aurora__Security_Software_Engineer_I,ng_applications/0114__Aurora__Security_Software_Engineer_I/Yuanbo_Pang_Resume.pdf,previously verified live link
115,ready,,Aurora,Software Engineer I,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Mountain View, California",https://jobright.ai/jobs/info/6a23b9c9757ade085b6aefb1?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0115__Aurora__Software_Engineer_I,ng_applications/0115__Aurora__Software_Engineer_I/Yuanbo_Pang_Resume.pdf,previously verified live link
116,ready,,Aurora Innovation,Software Engineer 1,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Mountain View, CA",https://aurora.tech/jobs/8191750002?gh_jid=8191750002&utm_source=vansh&ref=vansh,ng_applications/0116__Aurora_Innovation__Software_Engineer_1,ng_applications/0116__Aurora_Innovation__Software_Engineer_1/Yuanbo_Pang_Resume.pdf,previously verified live link
117,submitted,2026-06-07,Automat,Software Engineer - Junior/Intermediate,medium,Startup / venture-backed company,Backend / full-stack software,backend,San Francisco,https://jobs.ashbyhq.com/automat/a4172515-0353-47ec-9c71-631a294aa137,ng_applications/0117__Automat__Software_Engineer_-_JuniorIntermediate,ng_applications/0117__Automat__Software_Engineer_-_JuniorIntermediate/Yuanbo_Pang_Resume.pdf,Submitted via Ashby on 2026-06-07. Confirmation: Your application was successfully submitted.
118,ready,,AV,Junior QA Engineer,medium,Startup / small-to-mid company,QA / test / validation,qa,"7535 Metropolitan Drive, San Diego , CA, US",https://jobright.ai/jobs/info/6a208db2c00e701fe836a381?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0118__AV__Junior_QA_Engineer,ng_applications/0118__AV__Junior_QA_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
119,submitted,2026-06-07,Baton Corporation,Junior Full Stack Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://jobs.ashbyhq.com/batoncorporation/bb3ab630-5e59-48b5-9794-00a225879a66?utm_source=Simplify&ref=Simplify,ng_applications/0119__Baton_Corporation__Junior_Full_Stack_Engineer,ng_applications/0119__Baton_Corporation__Junior_Full_Stack_Engineer/Yuanbo_Pang_Resume.pdf,Submitted via Ashby on 2026-06-07. Confirmation: Your application was successfully submitted.
120,ready,,Benchify,Founding Engineer 🇺🇸,medium,Startup / venture-backed company,General software / IT,backend,"San Francisco, CA New York, NY",https://www.workatastartup.com/jobs/81628?utm_source=vansh,ng_applications/0120__Benchify__Founding_Engineer,ng_applications/0120__Benchify__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
121,ready,,Brain,Software Engineer I - Firmware,medium,Startup / small-to-mid company,AI/ML / applied AI,ai_ml,"San Diego, CA",https://braincorp.com/open-positions?gh_jid=8502582002,ng_applications/0121__Brain__Software_Engineer_I_-_Firmware,ng_applications/0121__Brain__Software_Engineer_I_-_Firmware/Yuanbo_Pang_Resume.pdf,previously verified live link
122,ready,,Brain Corp,Software Engineer 1,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Diego, CA",https://braincorp.com/open-positions?gh_jid=8490301002&utm_source=Simplify&ref=Simplify,ng_applications/0122__Brain_Corp__Software_Engineer_1,ng_applications/0122__Brain_Corp__Software_Engineer_1/Yuanbo_Pang_Resume.pdf,previously verified live link
123,not_fit,,Brain Corp,Software Engineer 1 - Firmware,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Diego, CA",https://braincorp.com/open-positions?gh_jid=8502582002&utm_source=Simplify&ref=Simplify,ng_applications/0123__Brain_Corp__Software_Engineer_1_-_Firmware,ng_applications/0123__Brain_Corp__Software_Engineer_1_-_Firmware/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: duplicate of rank 121; same Brain Corp firmware role and same gh_jid 8502582002. Keep rank 121 for application.
124,ready,,Brain Corp,"Software Engineer I, Firmware",medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Diego, CA",https://jobright.ai/jobs/info/69efff9b58811370cb14a16f?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0124__Brain_Corp__Software_Engineer_I_Firmware,ng_applications/0124__Brain_Corp__Software_Engineer_I_Firmware/Yuanbo_Pang_Resume.pdf,previously verified live link
125,ready,,"Broadata Communications, Inc.",Associate Test Engineer,medium,Startup / small-to-mid company,Data / analytics / BI,data,"Torrance, CA",https://jobright.ai/jobs/info/6a21c6e4c00e701fe8370bc5?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0125__Broadata_Communications_Inc.__Associate_Test_Engineer,ng_applications/0125__Broadata_Communications_Inc.__Associate_Test_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
126,ready,,Caddy,Founding Engineer 🇺🇸,medium,Startup / venture-backed company,General software / IT,backend,"New York, NY",https://www.workatastartup.com/jobs/88067?utm_source=vansh,ng_applications/0126__Caddy__Founding_Engineer,ng_applications/0126__Caddy__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
127,ready,,Capital Insurance Group,Software Developer I,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Roseville, CA",https://jobright.ai/jobs/info/6a1f71deb61b2c65b37b2a64?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0127__Capital_Insurance_Group__Software_Developer_I,ng_applications/0127__Capital_Insurance_Group__Software_Developer_I/Yuanbo_Pang_Resume.pdf,previously verified live link
128,not_fit,,Catapult Federal Services,"El Mirage, Arizona- Network Infrastructure Engineer – Data Center",medium,Startup / small-to-mid company,Data / analytics / BI,data,"El Mirage,AZ",https://jobright.ai/jobs/info/6a206e08338c012305119092?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0128__Catapult_Federal_Services__El_Mirage_Arizona-_Network_Infrastructure_Engineer_Data_Ce,ng_applications/0128__Catapult_Federal_Services__El_Mirage_Arizona-_Network_Infrastructure_Engineer_Data_Ce/Yuanbo_Pang_Resume.pdf,Catapult Federal Services data center/network infrastructure role in federal services context; outside NG SWE startup target and likely government/clearance-sensitive. Screened out before applying.
129,ready,,Channel3,Founding Engineer 🛂,medium,Startup / venture-backed company,General software / IT,backend,"New York, NY",https://www.workatastartup.com/jobs/80837?utm_source=vansh,ng_applications/0129__Channel3__Founding_Engineer,ng_applications/0129__Channel3__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
130,not_fit,,CHAOS Industries,Forward Deployed Engineer - Software,medium,Startup / small-to-mid company,Product / TPM / solutions,product,"Hawthorne, California, United States",https://jobright.ai/jobs/info/6a079a373b54ed42d74d039e?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0130__CHAOS_Industries__Forward_Deployed_Engineer_-_Software,ng_applications/0130__CHAOS_Industries__Forward_Deployed_Engineer_-_Software/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: CHAOS Industries role is defense-focused and posting/search verification says existing or qualification for U.S. security clearance is required.
131,ready,,Charles River Associates,Consulting Associate/Full Stack Developer - Forensic Services practice,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Boston, MA, United States Chicago, IL, United States Dallas, Texas, United States New York, NY, United States Oakland, CA, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7954166,ng_applications/0131__Charles_River_Associates__Consulting_AssociateFull_Stack_Developer_-_Forensic_Servic,ng_applications/0131__Charles_River_Associates__Consulting_AssociateFull_Stack_Developer_-_Forensic_Servic/Yuanbo_Pang_Resume.pdf,previously verified live link
132,submitted,2026-06-07,Cirrus Logic,Junior Software Application Engineer,medium,Startup / venture-backed company,General software / IT,backend,"Austin, Texas",https://jobs.eu.lever.co/cirrus/8d01b718-5ac6-47db-9cdf-459062fdccec/apply,ng_applications/0132__Cirrus_Logic__Junior_Software_Application_Engineer,ng_applications/0132__Cirrus_Logic__Junior_Software_Application_Engineer/Yuanbo_Pang_Resume.pdf,User reported Cirrus Logic application submitted.
133,closed,,Citizen Health,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA San Mateo, CA",https://jobs.ashbyhq.com/Citizen%20Health/ab0cc0c1-7122-4ca2-8ac9-84d1812b22d4/application?utm_source=vansh,ng_applications/0133__Citizen_Health__Software_Engineer,ng_applications/0133__Citizen_Health__Software_Engineer/Yuanbo_Pang_Resume.pdf,Checked Ashby on 2026-06-07: page says Job not found.
134,ready,,Claim Health (X25),Founding Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"New York, NY",https://www.workatastartup.com/jobs/83842?utm_source=vansh,ng_applications/0134__Claim_Health_X25__Founding_Engineer,ng_applications/0134__Claim_Health_X25__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
135,submitted,2026-06-07,Clearstory.build,Junior Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Walnut Creek, California, US",https://apply.workable.com/clearstory/j/B4E3BB8DE1/,ng_applications/0135__Clearstory.build__Junior_Software_Engineer,ng_applications/0135__Clearstory.build__Junior_Software_Engineer/Yuanbo_Pang_Resume.pdf,Submitted via Workable on 2026-06-07. Confirmation: Your application has been submitted successfully; copy sent to yuanbopang@berkeley.edu.
136,ready,,ClimateAI,Data Engineer 1,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,SF,https://job-boards.greenhouse.io/climateai/jobs/5137357007?utm_source=Simplify&ref=Simplify,ng_applications/0136__ClimateAI__Data_Engineer_1,ng_applications/0136__ClimateAI__Data_Engineer_1/Yuanbo_Pang_Resume.pdf,previously verified live link
137,submitted,2026-06-07,Clipboard Health,"Software Engineer, Backend",medium,Startup / venture-backed company,Backend / full-stack software,backend,Remote,https://jobs.ashbyhq.com/clipboard/b83ea62e-f143-4673-a741-3e98e7e083bd?utm_source=vansh,ng_applications/0137__Clipboard_Health__Software_Engineer_Backend,ng_applications/0137__Clipboard_Health__Software_Engineer_Backend/Yuanbo_Pang_Resume.pdf,Submitted via Ashby on 2026-06-07 with backend resume. Used correct phone 408-460-7526. Confirmation: Your application was successfully submitted.
138,not_fit,,Compass Healthcare,Menu Database Coordinator,medium,Startup / small-to-mid company,Data / analytics / BI,data,"Atlanta, GA",https://jobright.ai/jobs/info/6a23bf8f14de9460dc845544?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0138__Compass_Healthcare__Menu_Database_Coordinator,ng_applications/0138__Compass_Healthcare__Menu_Database_Coordinator/Yuanbo_Pang_Resume.pdf,Menu Database Coordinator is not aligned with SWE/new-grad engineering target. Screened out before applying.
139,not_fit,,Confluent,Staff Software Engineer I,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Austin, Texas",https://jobs.ashbyhq.com/confluent/b070fb23-7041-4336-bee9-b8f31204dac4,ng_applications/0139__Confluent__Staff_Software_Engineer_I,ng_applications/0139__Confluent__Staff_Software_Engineer_I/Yuanbo_Pang_Resume.pdf,"Role is Staff Software Engineer I at Confluent, not new-grad/junior target; screened out during direct-link triage before applying."
140,submitted,2026-06-07,CVector Energy,Full Stack Software Engineer I or II,medium,Startup / venture-backed company,Backend / full-stack software,backend,"New York, New York, US",https://apply.workable.com/cvector/j/0D0DE27033/,ng_applications/0140__CVector_Energy__Full_Stack_Software_Engineer_I_or_II,ng_applications/0140__CVector_Energy__Full_Stack_Software_Engineer_I_or_II/Yuanbo_Pang_Resume.pdf,Submitted via Workable on 2026-06-07 with backend/full-stack resume. Confirmation: Your application has been submitted successfully; copy sent to yuanbopang@berkeley.edu.
141,submitted,2026-06-07,Digital Foundry,Software Engineer Associate,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Tiburon, CA, United States",http://digitalfoundry.applytojob.com/apply/AImbCdvOV4/Software-Engineer-Associate,ng_applications/0141__Digital_Foundry__Software_Engineer_Associate,ng_applications/0141__Digital_Foundry__Software_Engineer_Associate/Yuanbo_Pang_Resume.pdf,"User reported Digital Foundry, Inc. was submitted manually after prior CAPTCHA/human-check block; tracker updated accordingly."
142,ready,,Diverge Health,Associate Software Developer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,Remote in USA,https://divergehealth.org/jobs/?gh_jid=4840575007&utm_source=vansh&ref=vansh,ng_applications/0142__Diverge_Health__Associate_Software_Developer,ng_applications/0142__Diverge_Health__Associate_Software_Developer/Yuanbo_Pang_Resume.pdf,previously verified live link
143,needs_recheck,,Doppel,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA New York, NY",https://www.doppel.com/jobs?ashby_jid=07905bfc-1c21-465d-a6bb-39ef71744c3d&utm_source=vansh&ref=vansh,ng_applications/0143__Doppel__Software_Engineer,ng_applications/0143__Doppel__Software_Engineer/Yuanbo_Pang_Resume.pdf,"Checked on 2026-06-07: original Doppel ashby_jid redirected to company careers page and exact generic Software Engineer role was not directly available. Careers page now lists specific SWE roles (Autopilot, Detection, Infrastructure, Platform, Simulation); should add/apply as separate specific roles."
144,closed,,DRS,Software Engineer I,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"San Diego, CA",https://careers.leonardodrs.com/job/San-Diego-Software-Engineer-CA-92127/1298209000/?utm_source=vansh,ng_applications/0144__DRS__Software_Engineer_I,ng_applications/0144__DRS__Software_Engineer_I/Yuanbo_Pang_Resume.pdf,Checked Leonardo DRS careers page on 2026-06-07: page says this position is no longer posted.
145,closed,,Dune,Data Engineer,medium,Startup / venture-backed company,Data / analytics / BI,data,Remote,https://jobs.ashbyhq.com/dune/f3846675-ec16-49df-840d-a428cb421e8c?utm_source=vansh,ng_applications/0145__Dune__Data_Engineer,ng_applications/0145__Dune__Data_Engineer/Yuanbo_Pang_Resume.pdf,Checked Ashby on 2026-06-07: page says Job not found.
146,ready,,dv01,Data Analytics Engineer 1,medium,Startup / venture-backed company,Data / analytics / BI,data,Remote in USA,https://job-boards.greenhouse.io/dv01/jobs/8497282002?utm_source=Simplify&ref=Simplify,ng_applications/0146__dv01__Data_Analytics_Engineer_1,ng_applications/0146__dv01__Data_Analytics_Engineer_1/Yuanbo_Pang_Resume.pdf,previously verified live link
147,closed,,ElevenLabs,Growth Engineer - Mobile,medium,Startup / venture-backed company,Mobile,mobile,Remote,https://jobs.ashbyhq.com/elevenlabs/bed47ac1-9c5c-44ae-8965-3a4312706328?utm_source=vansh,ng_applications/0147__ElevenLabs__Growth_Engineer_-_Mobile,ng_applications/0147__ElevenLabs__Growth_Engineer_-_Mobile/Yuanbo_Pang_Resume.pdf,Checked Ashby on 2026-06-07: page says Job not found.
